Model,Test Accuracy,F1-Score,Type
XGBoost,0.9230769230769231,0.9137529137529138,Base Model
Hard Voting,0.9230769230769231,0.9137529137529138,Ensemble
Soft Voting,0.9230769230769231,0.9137529137529138,Ensemble
Stacking,0.9230769230769231,0.9137529137529138,Ensemble
Logistic Regression,0.8461538461538461,0.8461538461538461,Base Model
Gradient Boosting,0.8461538461538461,0.8461538461538461,Base Model
LightGBM,0.8461538461538461,0.8461538461538461,Base Model
SVM,0.8461538461538461,0.8426573426573426,Base Model
KNN,0.8461538461538461,0.8426573426573426,Base Model
Random Forest,0.7692307692307693,0.7412587412587412,Base Model
Bagging,0.7692307692307693,0.7412587412587412,Ensemble
Naive Bayes,0.5384615384615384,0.48111888111888107,Base Model
