ticker,dominant_topic,topic_keywords,article_count
ABT,1,"finance, yahoo, price",7
AVGO,1,"finance, yahoo, price",6
BABA,1,"finance, yahoo, price",6
BAC,1,"finance, yahoo, price",5
APA,1,"finance, yahoo, price",4
AMD,1,"finance, yahoo, price",4
BA,1,"finance, yahoo, price",4
AVB,1,"finance, yahoo, price",3
AZN,1,"finance, yahoo, price",3
ACN,1,"finance, yahoo, price",3
AMT,1,"finance, yahoo, price",3
AAPL,1,"finance, yahoo, price",2
ASML,1,"finance, yahoo, price",2
AMZN,1,"finance, yahoo, price",2
ADBE,1,"finance, yahoo, price",2
AMGN,1,"finance, yahoo, price",2
BBD,1,"finance, yahoo, price",2
AXP,1,"finance, yahoo, price",2
AEP,1,"finance, yahoo, price",1
