feature,importance
sentiment_consensus,0.22231066
sentiment_extremity,0.21177438
sentiment_ma_7d,0.13009313
sentiment_momentum,0.08232981
entity_diversity,0.07214635
event_freq_7d,0.05882324
word_count,0.036994454
sentiment_volatility,0.03345002
is_market_hours,0.031450186
topic_entropy,0.028539216
topic_dominance,0.025354104
org_prominence,0.024681412
recency_score,0.021183005
entity_freq_7d,0.012434813
entity_density,0.008435239
has_high_impact_event,0.0
event_sentiment_alignment,0.0
event_impact_score,0.0
