,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
sentiment_momentum,44.0,0.002936363636363627,0.5241022264436715,-1.3799000000000001,-0.36150000000000004,-0.064,0.36150000000000004,1.2493,,
sentiment_ma_3d,63.0,0.1196362433862434,0.2828542260666447,-0.5719,-0.011333333333333334,0.1219,0.296,0.743,-0.22306888635339836,-0.1446205800213658
sentiment_ma_7d,63.0,0.1135988246409675,0.2818688619257595,-0.5719,-0.03343333333333333,0.1219,0.2985875,0.743,-0.26148174019527487,-0.20730604944645403
sentiment_ma_14d,63.0,0.1135988246409675,0.2818688619257595,-0.5719,-0.03343333333333333,0.1219,0.2985875,0.743,-0.26148174019527487,-0.20730604944645403
sentiment_volatility,44.0,0.2929858394377949,0.18588170978332805,0.0,0.19258989204216206,0.274814999540256,0.35011385811088797,0.975736647359317,,
sentiment_range_7d,63.0,0.3979349206349206,0.41016231057831876,0.0,0.0,0.3578,0.6329,1.3799000000000001,0.9018098560604456,-0.036436638926396814
sentiment_acceleration,26.0,0.09658076923076922,1.0584931792011627,-1.6925,-0.6066750000000001,-0.054300000000000015,0.6627750000000001,2.6292,,
sentiment_extremity,63.0,0.2765444444444444,0.24687679882743768,0.0,0.0,0.25,0.4767,0.7717,0.39565391795252053,-1.1256979445195747
sentiment_consensus,63.0,0.7142857142857143,0.45538255553918683,0.0,0.0,1.0,1.0,1.0,-0.9486832980505148,-1.0999999999999979
entity_density,63.0,0.3693334085089209,0.1266206833159058,0.125,0.26666666666666666,0.35714285714285715,0.4641025641025641,0.7333333333333333,0.22809937710549505,-0.3453879732577936
entity_diversity,63.0,0.44973544973544965,0.1908172403293742,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3895066166432293,0.9379980468750047
org_prominence,63.0,0.6348702443940539,0.1842581250225785,0.0,0.5,0.6666666666666666,0.788888888888889,0.875,-1.0842455587471198,1.0602002052400161
entity_freq_7d,63.0,15.476190476190476,9.157857797924393,3.0,8.0,14.0,22.0,39.0,0.6453387413087833,-0.3464168359087383
entity_momentum,44.0,-0.6136363636363636,3.236534962327437,-10.0,-3.0,0.0,1.0,6.0,,
event_density,63.0,0.000992063492063492,0.0078742598543589,0.0,0.0,0.0,0.0,0.0625,7.747007747011626,58.016129032258114
has_high_impact_event,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
event_freq_7d,63.0,0.06349206349206349,0.24580452980260495,0.0,0.0,0.0,0.0,1.0,3.5801950519726575,10.817796610169502
event_momentum,44.0,-0.022727272727272728,0.1507556722888818,-1.0,0.0,0.0,0.0,0.0,,
avg_event_impact_7d,63.0,0.014945767195767196,0.06680801618516487,0.0,0.0,0.0,0.0,0.45196,5.240134168233695,28.996411763187083
event_sentiment_alignment,63.0,0.001959928126984127,0.015556447234681853,0.0,0.0,0.0,0.0,0.12347547199999999,7.747007747011624,58.01612903225811
topic_entropy,63.0,1.861819453254108,0.5664520390643145,0.9316082777776515,1.1788307320780997,2.253602661413305,2.253602661413305,2.253602661413305,-0.7854462153221957,-1.2962120490761408
topic_dominance,63.0,0.36750502624208964,0.27291252548929806,0.1782539188861847,0.1782539188861847,0.1782539188861847,0.7257136702537537,0.8008993268013,0.7686551952589261,-1.3474399179966754
topic_shift,63.0,0.47619047619047616,0.5034443575988876,0.0,0.0,0.0,1.0,1.0,0.09534625892455936,-1.990909090909091
topic_stability,63.0,0.32551020408163267,0.3044390416613358,0.0,0.0,0.33333333333333337,0.55,0.8571428571428572,0.1368334733406892,-1.5415915586602784
hour,63.0,12.507936507936508,5.0253326510757725,0.0,8.0,12.0,16.0,23.0,0.32692086404171805,-0.4767386938924498
day_of_week,63.0,3.4603174603174605,1.4791605817576752,1.0,2.0,3.0,5.0,6.0,0.04786645410100013,-0.9725934931559932
is_weekend,63.0,0.2698412698412698,0.4474425249214016,0.0,0.0,0.0,1.0,1.0,1.0370378827856193,-0.9245524296675205
is_market_hours,63.0,0.4603174603174603,0.502426268877297,0.0,0.0,0.0,1.0,1.0,0.1592324388246208,-1.9746450304259633
days_since_last,63.0,4.145692791005291,9.297868846683896,0.0,0.0,0.6390393518518519,1.7846469907407407,42.333333333333336,2.7000860374850313,6.294412132358348
recency_score,63.0,0.768612976053253,0.30419045039437054,0.022205777465291225,0.7937895673054168,0.905111494016882,0.9415598641533643,1.0,-1.5437911059738036,0.7956100792588399
sentiment_lag_1,44.0,0.10574772727272728,0.36262908110055214,-0.6369,0.0,0.0772,0.3123,0.7717,,
sentiment_lag_7,0.0,,,,,,,,,
word_count,63.0,15.26984126984127,3.8235532756609665,11.0,13.0,14.0,16.0,37.0,3.4036224382443456,15.46450811194369
